Facility Name,Last Verified,Address,Phone,Category,Accepted Materials,Source Link
"New ﻿York City Bulk Item Curbside Program-Updated Feb 23, 2016Back","Updated Feb 23, 2016",,,Materials Accepted,"Material, Air ﻿Conditioners, Barbeque ﻿Grills, Carpet, Carpet ﻿Padding, Dehumidifiers, Dishwashers, Freezers, Heaters, Household ﻿Furniture, Humidifiers, Lumber, Refrigerators, Stoves, Washer/Dryers",https://search.earth911.com/program/Q1RQNVJYWFhKXA/?what=Electronics&where=10001&max_distance=100&country=US&province=NY&city=New+York&region=New+York&postal_code=10001&latitude=40.74807084035&longitude=-73.99234262099&sponsor=&list_filter=all
"IMobile ﻿LLC-Updated Feb 29, 2012Back","Updated Feb 29, 2012",370 7th Ave,(212) 967-9725,Materials Accepted,"Material, Cell ﻿Phone Accessories, Cell ﻿Phones",https://search.earth911.com/location/Q1RQNVJeWFZAUw/?what=Electronics&where=10001&max_distance=100&country=US&province=NY&city=New+York&region=New+York&postal_code=10001&latitude=40.74807084035&longitude=-73.99234262099&sponsor=&list_filter=all
"The ﻿4th Bin-Updated Feb 17, 2010Back","Updated Feb 17, 2010",307 7th Ave,(646) 747-5985,Materials Accepted,"Material, Cell ﻿Phones, Desktop ﻿Computers, Inkjet ﻿Cartridges, LCD ﻿Computer Monitors, LCD ﻿Televisions, MP3 ﻿Players, Toner ﻿Cartridges",https://search.earth911.com/location/Q1RQNVJbW1tAUA/?what=Electronics&where=10001&max_distance=100&country=US&province=NY&city=New+York&region=New+York&postal_code=10001&latitude=40.74807084035&longitude=-73.99234262099&sponsor=&list_filter=all
"Sprint ﻿Store-Updated Jul 30, 2013Back","Updated Jul 30, 2013",126 ﻿W 34th ﻿St,(212) 695-6006,Materials Accepted,"Material, Cell ﻿Phone Accessories, Cell ﻿Phones",https://search.earth911.com/location/Q1RQNVJeWldEVA/?what=Electronics&where=10001&max_distance=100&country=US&province=NY&city=New+York&region=New+York&postal_code=10001&latitude=40.74807084035&longitude=-73.99234262099&sponsor=&list_filter=all
"Willoughby's-Updated Feb 11, 2011Back","Updated Feb 11, 2011",298 5th Ave,(212) 564-1600,Materials Accepted,"Material, Cell ﻿Phones, Desktop ﻿Computers, Game ﻿Consoles, Lithium-ion ﻿Batteries, MP3 ﻿Players, Nickel-cadmium ﻿Batteries, Telephones",https://search.earth911.com/location/Q1RQNVJfUlhLVw/?what=Electronics&where=10001&max_distance=100&country=US&province=NY&city=New+York&region=New+York&postal_code=10001&latitude=40.74807084035&longitude=-73.99234262099&sponsor=&list_filter=all
"Cartridge ﻿World-Updated May 15, 2013Back","Updated May 15, 2013",225 ﻿West 23rd ﻿Street,(212) 414-8406,Materials Accepted,"Material, Inkjet ﻿Cartridges, Toner ﻿Cartridges",https://search.earth911.com/location/Q1RQNVRdWVZFUw/?what=Electronics&where=10001&max_distance=100&country=US&province=NY&city=New+York&region=New+York&postal_code=10001&latitude=40.74807084035&longitude=-73.99234262099&sponsor=&list_filter=all
"ProTek ﻿Recycling Inc.-Updated Mar 25, 2013Back","Updated Mar 25, 2013",276 ﻿5th Avenue,(978) 621-4358,Materials Accepted,"Material, Audio ﻿Equipment, Blu-Ray ﻿Players, Boomboxes, Cables, Calculators, Cassette ﻿Players, CD ﻿Players, Cell ﻿Phone Accessories, Cell ﻿Phones, Computer ﻿Peripherals - External, Computer ﻿Peripherals - Internal, CRT ﻿Computer Monitors, CRT ﻿Televisions, Desktop ﻿Computers, Digital ﻿Cameras, DVD ﻿Players, Electronic ﻿Servers, Game ﻿Consoles, GPS ﻿Systems, Hard ﻿Drives, Home ﻿Electronics, Laptop ﻿Computers, LCD ﻿Computer Monitors, LCD ﻿Televisions, MP3 ﻿Players, Office ﻿Machines, Pagers, Paper ﻿Shredders, Printers, Projectors, Receivers, Record ﻿Players, Tablets, Telephones, Television ﻿Accessories, Two-Way ﻿Radios, Typewriters, VCRs",https://search.earth911.com/program/Q1RQNVJZUllGUQ/?what=Electronics&where=10001&max_distance=100&country=US&province=NY&city=New+York&region=New+York&postal_code=10001&latitude=40.74807084035&longitude=-73.99234262099&sponsor=&list_filter=all
"Tekserve-Updated Jan 23, 2011Back","Updated Jan 23, 2011",119 ﻿W 23rd ﻿St,(212) 929-3645,Materials Accepted,"Material, Desktop ﻿Computers, LCD ﻿Computer Monitors, Office ﻿Machines",https://search.earth911.com/location/Q1RQNVJfUlxLVw/?what=Electronics&where=10001&max_distance=100&country=US&province=NY&city=New+York&region=New+York&postal_code=10001&latitude=40.74807084035&longitude=-73.99234262099&sponsor=&list_filter=all
"Staples-Updated Sep 4, 2013Back","Updated Sep 4, 2013",500 8th Avenue,(212) 244-2681,Materials Accepted,"Material, Cell ﻿Phone Accessories, Cell ﻿Phones, Computer ﻿Peripherals - External, CRT ﻿Computer Monitors, Desktop ﻿Computers, Digital ﻿Cameras, GPS ﻿Systems, Inkjet ﻿Cartridges, Laptop ﻿Computers, LCD ﻿Computer Monitors, Lithium-ion ﻿Batteries, MP3 ﻿Players, Nickel-cadmium ﻿Batteries, Office ﻿Machines, Paper ﻿Shredders, Printers, Tablets, Toner ﻿Cartridges",https://search.earth911.com/location/Q1RQNVJYXVpBVg/?what=Electronics&where=10001&max_distance=100&country=US&province=NY&city=New+York&region=New+York&postal_code=10001&latitude=40.74807084035&longitude=-73.99234262099&sponsor=&list_filter=all
"Cartridge ﻿World-Updated May 15, 2013Back","Updated May 15, 2013",155 ﻿West 35th ﻿Street,(212) 777-6600,Materials Accepted,"Material, Inkjet ﻿Cartridges, Toner ﻿Cartridges",https://search.earth911.com/location/Q1RQNVBfWF1KUQ/?what=Electronics&where=10001&max_distance=100&country=US&province=NY&city=New+York&region=New+York&postal_code=10001&latitude=40.74807084035&longitude=-73.99234262099&sponsor=&list_filter=all
